                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.39557,                0.30006,                0.58935,                0.82849,                0.70649,                0.34286,                0.42847,                0.37005,                0.75146,                0.37143,                0.43605,                0.35218,                0.90988,                 2.2995,                  1.987,                0.97152,              0.0018859,              0.0018859,              0.0018859
                     26,                0.41448,                0.25917,                0.57366,                0.83607,                0.63348,                0.62857,                0.67501,                0.55921,                0.63348,                0.62857,                0.67408,                0.55577,                0.84131,                 1.4739,                 1.3378,                0.94928,               0.001901,               0.001901,               0.001901
                     27,                0.40574,                0.32347,                 0.5555,                0.84109,                0.69177,                0.70552,                 0.6558,                0.51897,                0.69337,                0.71076,                0.67727,                 0.5613,                0.86234,                 1.4527,                 1.3962,                0.95885,               0.001897,               0.001897,               0.001897
                     28,                0.40875,                0.35122,                  0.544,                0.85216,                0.59572,                    0.4,                0.38312,                0.29688,                0.59572,                    0.4,                0.38518,                0.29386,                  1.034,                 3.3692,                  2.125,                 1.0893,              0.0018931,              0.0018931,              0.0018931
                     29,                 0.4364,                0.31615,                0.53485,                0.85535,                0.50417,                0.40691,                0.41149,                0.34345,                0.50417,                0.40691,                0.41399,                0.30174,                0.99269,                 3.6265,                 2.0815,                  1.105,              0.0018891,              0.0018891,              0.0018891
                     30,                0.41119,                0.29807,                0.54804,                0.85137,                0.47567,                    0.4,                0.37875,                0.29843,                0.47567,                    0.4,                0.37068,                0.25718,                 1.0394,                 3.1825,                 2.1114,                 1.1045,              0.0018852,              0.0018852,              0.0018852
                     31,                0.43715,                0.31175,                0.56964,                0.84675,                      1,                0.48298,                0.63137,                0.50957,                      1,                0.48298,                 0.6296,                0.50027,                 0.8909,                 1.9119,                 1.5141,                0.99892,              0.0018812,              0.0018812,              0.0018812
                     32,                0.43029,                0.42342,                0.52432,                0.84021,                 0.7973,                0.78689,                0.80806,                0.67394,                 0.7973,                0.78689,                0.82052,                0.68943,                0.74267,                0.91777,                  1.058,                0.91094,              0.0018772,              0.0018772,              0.0018772
                     33,                0.43878,                0.34287,                0.52797,                0.84367,                0.96538,                0.79671,                0.88564,                0.72694,                0.96538,                0.79671,                0.88541,                0.77051,                0.70703,                0.83818,                0.93682,                 0.8989,              0.0018733,              0.0018733,              0.0018733
                     34,                 0.4158,                0.34037,                0.53244,                0.85244,                0.96649,                0.82417,                0.89767,                0.75285,                0.96649,                0.82417,                0.89745,                0.78033,                0.69366,                0.88831,                0.94795,                0.90658,              0.0018693,              0.0018693,              0.0018693
