                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.41112,                  0.257,                0.59547,                0.85277,                0.98233,                      1,                  0.995,                0.84559,                0.98233,                      1,                  0.995,                  0.995,                0.69504,                0.51883,                 0.7485,                 0.9245,               0.001505,               0.001505,               0.001505
                     27,                0.39626,                0.30909,                0.57899,                0.85148,                0.98232,                      1,                  0.995,                0.84559,                0.98232,                      1,                  0.995,                0.92102,                 0.6699,                0.41353,                0.60337,                0.90595,              0.0014852,              0.0014852,              0.0014852
                     28,                0.40714,                 0.2941,                0.59449,                 0.8447,                0.98219,                      1,                  0.995,                0.84554,                0.98219,                      1,                  0.995,                0.94581,                  0.518,                0.31023,                0.48751,                0.84251,              0.0014654,              0.0014654,              0.0014654
                     29,                0.39311,                0.24996,                0.55853,                 0.8352,                0.98196,                      1,                  0.995,                0.84554,                0.98196,                      1,                  0.995,                0.94722,                0.50485,                0.34702,                0.48816,                0.83201,              0.0014456,              0.0014456,              0.0014456
                     30,                  0.394,                0.26963,                0.54799,                0.83486,                0.98045,                      1,                  0.995,                 0.9203,                0.98045,                      1,                  0.995,                  0.995,                0.41108,                0.31547,                0.49748,                0.83768,              0.0014258,              0.0014258,              0.0014258
                     31,                0.38566,                0.29431,                 0.5447,                0.82869,                 0.9803,                      1,                  0.995,                 0.8955,                 0.9803,                      1,                  0.995,                  0.995,                0.48984,                0.27025,                  0.515,                0.83085,               0.001406,               0.001406,               0.001406
                     32,                  0.385,                 0.2704,                 0.5653,                0.83925,                0.98084,                      1,                  0.995,                 0.8456,                0.98084,                      1,                  0.995,                 0.8951,                0.59025,                 1.3168,                0.51885,                0.85881,              0.0013862,              0.0013862,              0.0013862
                     33,                0.38331,                 0.2958,                 0.5165,                0.84355,                0.98166,                      1,                  0.995,                 0.9203,                0.98166,                      1,                  0.995,                0.89509,                0.55905,                 1.9214,                0.52725,                0.86463,              0.0013664,              0.0013664,              0.0013664
                     34,                 0.3898,                0.23566,                0.54314,                0.85178,                 0.9823,                      1,                  0.995,                 0.8955,                 0.9823,                      1,                  0.995,                 0.9203,                0.60301,                0.43448,                0.41769,                0.91628,              0.0013466,              0.0013466,              0.0013466
                     35,                 0.3916,                 0.2183,                0.53797,                  0.854,                0.98023,                      1,                  0.995,                 0.8955,                0.98023,                      1,                  0.995,                  0.995,                 0.6033,                0.35196,                0.43764,                0.89465,              0.0013268,              0.0013268,              0.0013268
                     36,                0.33429,                0.21036,                 0.4943,                0.82086,                 0.9814,                      1,                  0.995,                0.84559,                 0.9814,                      1,                  0.995,                  0.995,                0.36984,                0.33674,                0.55601,                0.84379,               0.001307,               0.001307,               0.001307
                     37,                0.35885,                0.22443,                0.47529,                0.84373,                0.98229,                      1,                  0.995,                0.84559,                0.98229,                      1,                  0.995,                  0.995,                0.53046,                0.35121,                0.51136,                0.86387,              0.0012872,              0.0012872,              0.0012872
                     38,                0.38919,                0.21529,                0.49552,                0.84259,                0.98261,                      1,                  0.995,                0.92029,                0.98261,                      1,                  0.995,                  0.995,                0.48004,                0.41133,                0.46544,                0.84162,              0.0012674,              0.0012674,              0.0012674
                     39,                0.35675,                0.23995,                0.50299,                0.84036,                0.98396,                      1,                  0.995,                 0.9203,                0.98396,                      1,                  0.995,                  0.995,                0.41764,                0.39921,                0.45537,                0.83266,              0.0012476,              0.0012476,              0.0012476
                     40,                0.36191,                 0.2222,                0.46147,                0.84133,                0.98207,                      1,                  0.995,                0.94506,                0.98207,                      1,                  0.995,                  0.995,                 0.4647,                0.40155,                0.48685,                0.85694,              0.0012278,              0.0012278,              0.0012278
                     41,                0.36287,                0.23464,                0.45838,                0.82594,                0.98241,                      1,                  0.995,                0.94507,                0.98241,                      1,                  0.995,                  0.995,                0.47904,                0.42193,                0.53607,                0.86637,               0.001208,               0.001208,               0.001208
                     42,                0.34039,                0.21915,                0.43767,                0.81642,                0.98364,                      1,                  0.995,                0.94508,                0.98364,                      1,                  0.995,                0.94935,                0.50854,                0.35819,                0.49697,                0.86138,              0.0011882,              0.0011882,              0.0011882
                     43,                0.34588,                0.23869,                0.47432,                0.81943,                0.98314,                      1,                  0.995,                0.94509,                0.98314,                      1,                  0.995,                  0.995,                0.49254,                0.31739,                0.46927,                0.85551,              0.0011684,              0.0011684,              0.0011684
                     44,                0.34785,                0.20169,                0.44691,                0.84723,                0.98234,                      1,                  0.995,                0.92035,                0.98234,                      1,                  0.995,                  0.995,                0.41804,                 0.3186,                0.36953,                0.83295,              0.0011486,              0.0011486,              0.0011486
                     45,                0.33708,                0.24617,                0.42727,                0.83302,                0.98213,                      1,                  0.995,                 0.8955,                0.98213,                      1,                  0.995,                  0.995,                0.37566,                0.30862,                0.44631,                0.82836,              0.0011288,              0.0011288,              0.0011288
                     46,                0.36705,                0.29428,                0.45513,                0.84691,                0.98236,                      1,                  0.995,                0.92035,                0.98236,                      1,                  0.995,                  0.995,                0.28865,                0.29828,                0.32203,                0.82457,               0.001109,               0.001109,               0.001109
                     47,                 0.3517,                0.41392,                0.44084,                 0.8339,                0.98262,                      1,                  0.995,                0.92035,                0.98262,                      1,                  0.995,                  0.995,                0.35207,                0.31093,                0.35223,                0.82921,              0.0010892,              0.0010892,              0.0010892
                     48,                0.33604,                0.28211,                0.45236,                0.83031,                0.98277,                      1,                  0.995,                0.92034,                0.98277,                      1,                  0.995,                  0.995,                0.48569,                0.38245,                0.40164,                0.84299,              0.0010694,              0.0010694,              0.0010694
                     49,                0.29142,                0.24028,                0.40873,                0.81375,                0.98288,                      1,                  0.995,                0.92035,                0.98288,                      1,                  0.995,                  0.995,                0.43119,                0.42938,                0.36498,                0.83397,              0.0010496,              0.0010496,              0.0010496
                     50,                0.30238,                0.26061,                0.38867,                0.80346,                0.97395,                      1,                  0.995,                 0.9451,                0.97395,                      1,                  0.995,                  0.995,                0.33352,                0.37806,                0.42468,                0.82315,              0.0010298,              0.0010298,              0.0010298
                     51,                0.30613,                0.23854,                0.37005,                0.80346,                0.95774,                      1,                  0.995,                 0.9451,                0.95774,                      1,                  0.995,                  0.995,                0.39645,                0.34147,                0.51814,                0.82703,                0.00101,                0.00101,                0.00101
                     52,                0.32271,                0.25589,                 0.4054,                0.81895,                 0.9643,                      1,                  0.995,                 0.8955,                 0.9643,                      1,                  0.995,                  0.995,                0.51121,                0.33036,                0.48184,                0.85233,              0.0009902,              0.0009902,              0.0009902
                     53,                0.32398,                0.25622,                0.39852,                0.82768,                0.97052,                      1,                  0.995,                 0.8955,                0.97052,                      1,                  0.995,                  0.995,                0.52686,                0.36149,                0.46265,                0.85101,              0.0009704,              0.0009704,              0.0009704
                     54,                0.30089,                0.20368,                0.38063,                0.83139,                0.97998,                      1,                  0.995,                 0.8955,                0.97998,                      1,                  0.995,                0.96167,                0.56387,                0.45386,                0.40315,                0.87124,              0.0009506,              0.0009506,              0.0009506
                     55,                0.28833,                0.21751,                0.37999,                0.81762,                0.98173,                      1,                  0.995,                 0.8955,                0.98173,                      1,                  0.995,                  0.995,                0.52505,                0.51872,                0.43997,                0.87227,              0.0009308,              0.0009308,              0.0009308
                     56,                0.28123,                0.19714,                0.37335,                0.81294,                0.98251,                      1,                  0.995,                  0.995,                0.98251,                      1,                  0.995,                  0.995,                0.44947,                0.55401,                0.45749,                0.83809,               0.000911,               0.000911,               0.000911
                     57,                0.31561,                0.23224,                0.39648,                 0.8378,                0.98223,                      1,                  0.995,                 0.8955,                0.98223,                      1,                  0.995,                  0.995,                0.41051,                0.51783,                0.38975,                0.83623,              0.0008912,              0.0008912,              0.0008912
                     58,                0.33892,                0.22103,                 0.4086,                0.83557,                0.98263,                      1,                  0.995,                0.92037,                0.98263,                      1,                  0.995,                  0.995,                0.38791,                0.40927,                0.27697,                0.83875,              0.0008714,              0.0008714,              0.0008714
                     59,                0.30082,                0.23163,                0.38986,                0.83538,                 0.9826,                      1,                  0.995,                0.92037,                 0.9826,                      1,                  0.995,                  0.995,                0.37847,                0.40467,                0.27246,                0.83667,              0.0008516,              0.0008516,              0.0008516
                     60,                0.29549,                0.21818,                0.38059,                0.82925,                0.98269,                      1,                  0.995,                0.92037,                0.98269,                      1,                  0.995,                0.92093,                0.38429,                0.39584,                0.34409,                  0.837,              0.0008318,              0.0008318,              0.0008318
                     61,                0.28602,                0.21213,                0.36625,                0.84917,                0.98246,                      1,                  0.995,                0.92036,                0.98246,                      1,                  0.995,                0.92143,                0.38002,                0.38964,                0.30991,                0.83878,               0.000812,               0.000812,               0.000812
